id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
44729361.0,BRUCE,adoptable,True,False,,False,False,612 Canino Rd,US,TX,Houston,Male,Baby,Boxer,,61.0,45.46,46.0,45.0,71.0,11.0
44729362.0,BLACKIE,adoptable,True,False,,False,False,612 Canino Rd,US,TX,Houston,Male,Baby,Boxer,,61.0,45.46,46.0,45.0,71.0,11.0
44730317.0,MIA,adoptable,True,False,,False,True,800 Community Circle,US,TX,Schertz,Female,Adult,Boxer,,,,,,,11.0
44730260.0,puppies,adoptable,False,False,,False,True,32423 Calle Perfecto,US,CA,San Juan Capistrano,Female,Baby,Boxer,,,,,,,11.0
44729636.0,Powder,adoptable,True,True,,False,True,6003 Chapel Hill Road Ste. 133,US,NC,Raleigh,Female,Young,Boxer,,33.0,49.08,27.0,21.0,85.0,11.0
44729980.0,CONCHO,adoptable,False,False,,False,False,7610 Davis Blvd,US,FL,Naples,Male,Adult,Boxer,,,,,,,11.0
44729888.0,Dallas,adoptable,True,False,,False,True,3410 S. Walnut Street,US,IN,Bloomington,Male,Young,Boxer,,,,,,,11.0
44729837.0,COMANCHI,adoptable,True,False,,False,False,2080 S. Quebec St.,US,CO,Denver,Male,Adult,Boxer,,22.0,50.79,81.0,7.0,50.0,11.0
44729838.0,SPIRIT,adoptable,True,False,,False,False,2080 S. Quebec St.,US,CO,Denver,Female,Young,Boxer,,22.0,50.79,81.0,7.0,50.0,11.0
44729839.0,LUKE,adoptable,True,False,,False,False,2080 S. Quebec St.,US,CO,Denver,Male,Baby,Boxer,,22.0,50.79,81.0,7.0,50.0,11.0
44729840.0,LARRY,adoptable,True,False,,False,False,2080 S. Quebec St.,US,CO,Denver,Male,Baby,Boxer,,22.0,50.79,81.0,7.0,50.0,11.0
44729813.0,MIA,adoptable,True,False,,False,False,2080 S. Quebec St.,US,CO,Denver,Female,Adult,Boxer,,22.0,50.79,81.0,7.0,50.0,11.0
44729045.0,BENTO,adoptable,False,False,,False,False,2032 Circle Rd,US,TX,Waco,Male,Young,Boxer,,,,,,,11.0
44729208.0,Molly,adoptable,True,False,,False,False,5970 Green Road,US,OH,Ashtabula,Female,Adult,Boxer,,,,,,,11.0
44729094.0,Boss,adoptable,True,False,,False,True,,US,AL,Vinemont,Male,Adult,Boxer,,,,,,,11.0
44728945.0,McCartney,adoptable,True,False,,False,True,,US,CO,Littleton,Male,Baby,Boxer,,,,,,,11.0
44728950.0,Starkey,adoptable,True,False,,False,True,,US,CO,Littleton,Male,Baby,Boxer,,,,,,,11.0
